id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;st_asgeojson
16373;14013;NECOCHEA;102;200;101;199;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3656661120542,-34.6273327050396],[-58.366122347255,-34.6270301696878],[-58.3662409795714,-34.6268486377699],[-58.3663022421228,-34.6266953712127]]]}
1186;3156;CONGRESO;1902;2000;1901;1999;;CALLE;En obra por Construcción del Paso Bajo Nivel a partir del 4/7/2014;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4585339893126,-34.5533851768095],[-58.4581881533666,-34.5532060013476],[-58.4575927538283,-34.5528975129867]]]}
27558;13118;MONTEVIDEO;1202;1300;1201;1299;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3900600782646,-34.5942743161684],[-58.3900223710286,-34.5950749779863]]]}
27576;20044;SAN MARTIN;0;0;1301;1349;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.3721891715766,-34.5917628356132],[-58.3716517529397,-34.5912005303759]]]}
27583;17033;PATRICIAS ARGENTINAS AV.;202;280;0;0;;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4332027252037,-34.6057144280216],[-58.4331495566302,-34.6057896569247],[-58.4331011213029,-34.6058723611462],[-58.4330365372379,-34.6059924170171],[-58.4329784080928,-34.6061098061672],[-58.432936414194,-34.6062271992245],[-58.4329042169724,-34.6063540976683]]]}
27595;7028;GARCIA DEL RIO AV.;0;0;2401;2499;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4688478534462,-34.5481137920632],[-58.4688615981756,-34.5481913110587],[-58.4688876270028,-34.5482881979604],[-58.4689234092252,-34.5483204922142],[-58.4692226633481,-34.5483796860607],[-58.4696325115979,-34.5484550209801],[-58.4700260967496,-34.5485276641604]]]}
27597;7028;GARCIA DEL RIO AV.;0;0;2501;2599;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4700260967496,-34.5485276641604],[-58.4710800007048,-34.548753668873]]]}
27599;7028;GARCIA DEL RIO AV.;0;0;2601;2699;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4710800007048,-34.548753668873],[-58.4721208981932,-34.5489689001283]]]}
27601;7028;GARCIA DEL RIO AV.;0;0;2701;2799;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4721208981932,-34.5489689001283],[-58.4731878216533,-34.5491733549138]]]}
27603;7028;GARCIA DEL RIO AV.;0;0;2801;2899;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4731878216533,-34.5491733549138],[-58.4742449920709,-34.5493778012919]]]}
27605;7028;GARCIA DEL RIO AV.;0;0;2901;2999;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4742449920709,-34.5493778012919],[-58.4752989153016,-34.5495849301835]]]}
27607;7028;GARCIA DEL RIO AV.;0;0;3001;3099;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4752989153016,-34.5495849301835],[-58.4763788663463,-34.5497947383962]]]}
